InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month
INV10120,P003,Bluetooth Speaker,10,2023-08-10 05:54:00,13.09,5066,Germany,130.9,2023-08
INV10121,P009,Phone Holder,7,2023-06-14 08:10:00,78.69,7232,Norway,550.8299999999999,2023-06
INV10122,P008,Gaming Headset,5,2023-11-09 06:20:00,34.01,1986,Germany,170.04999999999998,2023-11
INV10123,P004,Portable Charger,4,2023-07-12 17:01:00,67.74,3573,Spain,270.96,2023-07
INV10124,P003,Bluetooth Speaker,9,2023-02-24 15:51:00,19.87,7693,Norway,178.83,2023-02
INV10125,P010,Webcam HD,8,2023-08-01 02:07:00,8.1,5720,Italy,64.8,2023-08
INV10126,P008,Gaming Headset,2,2023-06-19 23:22:00,92.77,4241,Australia,185.54,2023-06
INV10127,P002,USB-C Cable,9,2023-06-13 16:49:00,66.53,5352,France,598.77,2023-06
INV10128,P002,USB-C Cable,1,2023-05-01 19:42:00,80.3,5728,Norway,80.3,2023-05
INV10129,P002,USB-C Cable,8,2023-08-10 10:22:00,71.47,5460,Sweden,571.76,2023-08
INV10130,P009,Phone Holder,8,2023-11-15 18:23:00,12.64,1653,Australia,101.12,2023-11
INV10131,P006,Notebook Cooler,10,2023-07-02 07:29:00,7.46,4750,United Kingdom,74.6,2023-07
INV10132,P005,Laptop Stand,10,2023-01-30 07:05:00,77.5,3870,Norway,775.0,2023-01
INV10133,P009,Phone Holder,8,2023-07-22 13:08:00,22.24,8141,Norway,177.92,2023-07
INV10134,P002,USB-C Cable,8,2023-09-11 09:03:00,43.79,6260,Germany,350.32,2023-09
INV10135,P003,Bluetooth Speaker,6,2023-10-27 18:01:00,70.9,5722,Australia,425.40000000000003,2023-10
INV10136,P009,Phone Holder,1,2023-11-28 04:39:00,13.37,5135,Netherlands,13.37,2023-11
INV10137,P002,USB-C Cable,7,2023-01-01 20:06:00,67.48,9889,Norway,472.36,2023-01
INV10138,P007,Smart LED Bulb,1,2023-05-17 14:14:00,54.25,9167,Norway,54.25,2023-05
INV10139,P001,Wireless Mouse,4,2023-07-14 11:08:00,57.18,5719,Norway,228.72,2023-07
INV10140,P008,Gaming Headset,2,2023-01-22 00:31:00,97.45,4920,France,194.9,2023-01
INV10141,P005,Laptop Stand,9,2023-01-10 22:58:00,57.46,2527,Spain,517.14,2023-01
INV10142,P002,USB-C Cable,8,2023-03-27 12:52:00,66.53,3522,Norway,532.24,2023-03
INV10143,P005,Laptop Stand,9,2023-07-19 02:26:00,44.47,8905,Norway,400.23,2023-07
INV10144,P004,Portable Charger,8,2023-04-16 07:48:00,41.44,9327,France,331.52,2023-04
INV10145,P002,USB-C Cable,5,2023-10-30 03:38:00,37.29,9318,Italy,186.45,2023-10
INV10146,P001,Wireless Mouse,5,2023-08-06 09:38:00,84.56,9022,France,422.8,2023-08
INV10147,P008,Gaming Headset,9,2023-12-19 16:28:00,37.79,9903,Australia,340.11,2023-12
INV10148,P008,Gaming Headset,6,2023-05-18 08:56:00,98.17,4912,Australia,589.02,2023-05
INV10149,P004,Portable Charger,7,2023-02-01 18:47:00,35.23,8749,Australia,246.60999999999999,2023-02
INV10150,P007,Smart LED Bulb,3,2023-12-27 16:29:00,96.66,3068,Sweden,289.98,2023-12
INV10151,P010,Webcam HD,6,2023-03-15 01:59:00,88.05,8213,Germany,528.3,2023-03
INV10152,P009,Phone Holder,8,2023-01-12 04:13:00,73.63,7717,France,589.04,2023-01
INV10153,P002,USB-C Cable,8,2023-07-12 23:36:00,37.16,7512,Germany,297.28,2023-07
INV10154,P006,Notebook Cooler,9,2023-10-04 17:08:00,95.64,8994,Sweden,860.76,2023-10
INV10155,P001,Wireless Mouse,10,2023-02-19 19:44:00,27.3,5708,Spain,273.0,2023-02
INV10156,P002,USB-C Cable,7,2023-03-13 16:25:00,77.24,2646,Norway,540.68,2023-03
INV10157,P003,Bluetooth Speaker,5,2023-01-22 01:53:00,9.37,1919,Italy,46.849999999999994,2023-01
INV10158,P006,Notebook Cooler,6,2023-11-10 14:47:00,18.83,9702,Australia,112.97999999999999,2023-11
INV10159,P010,Webcam HD,3,2023-05-04 18:40:00,21.63,7267,Spain,64.89,2023-05
INV10160,P008,Gaming Headset,10,2023-04-15 05:09:00,27.06,5161,Norway,270.59999999999997,2023-04
INV10161,P005,Laptop Stand,1,2023-12-05 18:53:00,90.61,9955,France,90.61,2023-12
INV10162,P002,USB-C Cable,8,2023-09-09 15:11:00,98.83,5901,Australia,790.64,2023-09
INV10163,P005,Laptop Stand,8,2023-08-08 23:57:00,23.93,7302,Norway,191.44,2023-08
INV10164,P002,USB-C Cable,4,2023-10-05 16:49:00,59.33,5847,Italy,237.32,2023-10
INV10165,P001,Wireless Mouse,7,2023-07-19 20:53:00,5.77,1803,Norway,40.39,2023-07
INV10166,P005,Laptop Stand,4,2023-09-14 13:15:00,25.81,4115,Italy,103.24,2023-09
INV10167,P003,Bluetooth Speaker,2,2023-01-29 16:57:00,34.35,8222,United Kingdom,68.7,2023-01
INV10168,P010,Webcam HD,6,2023-04-06 16:35:00,13.56,5835,Netherlands,81.36,2023-04
INV10169,P007,Smart LED Bulb,3,2023-05-27 05:08:00,17.56,9837,Netherlands,52.67999999999999,2023-05
INV10170,P009,Phone Holder,9,2023-07-18 10:45:00,83.89,5210,Norway,755.01,2023-07
INV10171,P005,Laptop Stand,6,2023-03-25 20:44:00,49.49,2233,France,296.94,2023-03
INV10172,P004,Portable Charger,7,2023-09-24 08:22:00,13.58,7464,United Kingdom,95.06,2023-09
INV10173,P005,Laptop Stand,9,2023-03-31 23:52:00,48.2,5295,Australia,433.8,2023-03
INV10174,P006,Notebook Cooler,2,2023-06-20 06:20:00,49.79,6374,Spain,99.58,2023-06
INV10175,P002,USB-C Cable,8,2023-08-09 01:09:00,66.68,2911,France,533.44,2023-08
INV10176,P001,Wireless Mouse,1,2023-08-10 15:09:00,99.61,2902,Germany,99.61,2023-08
INV10177,P004,Portable Charger,9,2023-04-09 18:54:00,41.92,7078,Sweden,377.28000000000003,2023-04
INV10178,P007,Smart LED Bulb,10,2023-04-23 12:29:00,89.11,2622,Norway,891.1,2023-04
INV10179,P010,Webcam HD,7,2023-07-23 16:48:00,8.11,7070,Spain,56.769999999999996,2023-07
INV10180,P008,Gaming Headset,8,2023-06-21 22:22:00,86.27,2627,Netherlands,690.16,2023-06
INV10181,P009,Phone Holder,6,2023-02-14 02:11:00,42.82,4109,Germany,256.92,2023-02
INV10182,P008,Gaming Headset,2,2023-06-04 10:49:00,65.96,1349,United Kingdom,131.92,2023-06
INV10183,P006,Notebook Cooler,4,2023-04-02 16:40:00,79.76,4362,Germany,319.04,2023-04
INV10184,P009,Phone Holder,4,2023-06-07 06:01:00,82.24,4817,Netherlands,328.96,2023-06
INV10185,P003,Bluetooth Speaker,10,2023-01-03 01:33:00,31.34,3370,France,313.4,2023-01
INV10186,P009,Phone Holder,5,2023-05-08 01:33:00,15.44,1422,France,77.2,2023-05
INV10187,P001,Wireless Mouse,6,2023-06-23 06:09:00,60.94,1258,France,365.64,2023-06
INV10188,P005,Laptop Stand,1,2023-04-03 07:15:00,75.46,9619,Germany,75.46,2023-04
INV10189,P002,USB-C Cable,8,2023-11-23 10:10:00,78.91,9408,Germany,631.28,2023-11
INV10190,P008,Gaming Headset,9,2023-06-11 07:51:00,94.81,1710,Sweden,853.29,2023-06
INV10191,P005,Laptop Stand,8,2023-01-23 16:23:00,10.78,8847,Australia,86.24,2023-01
INV10192,P007,Smart LED Bulb,2,2023-12-24 00:04:00,72.68,8267,Germany,145.36,2023-12
INV10193,P002,USB-C Cable,6,2023-04-19 00:19:00,11.24,5505,Sweden,67.44,2023-04
INV10194,P006,Notebook Cooler,7,2023-08-03 17:42:00,48.1,8048,Germany,336.7,2023-08
INV10195,P002,USB-C Cable,9,2023-06-06 13:48:00,45.86,4743,Australia,412.74,2023-06
INV10196,P006,Notebook Cooler,8,2023-10-18 08:18:00,44.52,2557,Netherlands,356.16,2023-10
INV10197,P007,Smart LED Bulb,6,2023-07-05 14:31:00,40.56,3500,Norway,243.36,2023-07
INV10198,P002,USB-C Cable,2,2023-03-04 03:51:00,13.86,2582,Netherlands,27.72,2023-03
INV10199,P003,Bluetooth Speaker,9,2023-02-13 16:14:00,60.71,6400,Germany,546.39,2023-02
INV10200,P007,Smart LED Bulb,6,2023-11-04 23:21:00,87.47,1842,Italy,524.8199999999999,2023-11
INV10201,P010,Webcam HD,5,2023-09-14 01:27:00,14.84,9313,Spain,74.2,2023-09
INV10202,P003,Bluetooth Speaker,8,2023-06-13 06:57:00,85.49,6736,Sweden,683.92,2023-06
INV10203,P006,Notebook Cooler,2,2023-07-22 20:19:00,59.54,8030,Sweden,119.08,2023-07
INV10204,P010,Webcam HD,10,2023-01-20 02:49:00,62.85,5381,United Kingdom,628.5,2023-01
INV10205,P003,Bluetooth Speaker,5,2023-08-13 23:53:00,92.55,6751,United Kingdom,462.75,2023-08
INV10206,P003,Bluetooth Speaker,3,2023-10-19 20:12:00,11.61,1502,Germany,34.83,2023-10
INV10207,P009,Phone Holder,4,2023-10-01 22:28:00,44.88,6585,France,179.52,2023-10
INV10208,P006,Notebook Cooler,5,2023-08-25 05:00:00,78.8,2391,United Kingdom,394.0,2023-08
INV10209,P003,Bluetooth Speaker,3,2023-02-06 05:39:00,69.03,5458,Norway,207.09,2023-02
INV10210,P007,Smart LED Bulb,8,2023-11-18 21:16:00,44.35,4531,Sweden,354.8,2023-11
INV10211,P002,USB-C Cable,6,2023-11-10 01:17:00,15.53,8972,Sweden,93.17999999999999,2023-11
INV10212,P005,Laptop Stand,1,2023-06-10 13:50:00,42.55,1897,United Kingdom,42.55,2023-06
INV10213,P004,Portable Charger,5,2023-06-03 19:34:00,77.9,5186,Italy,389.5,2023-06
INV10214,P006,Notebook Cooler,2,2023-01-06 15:05:00,52.25,8055,France,104.5,2023-01
INV10215,P003,Bluetooth Speaker,7,2023-06-17 13:28:00,52.52,6802,Germany,367.64000000000004,2023-06
INV10216,P007,Smart LED Bulb,1,2023-11-14 15:29:00,6.78,2275,Netherlands,6.78,2023-11
INV10217,P010,Webcam HD,7,2023-10-22 11:48:00,72.4,7843,Italy,506.80000000000007,2023-10
INV10218,P002,USB-C Cable,7,2023-01-16 04:29:00,96.79,3815,Norway,677.5300000000001,2023-01
INV10219,P006,Notebook Cooler,2,2023-11-15 00:05:00,85.23,4986,Australia,170.46,2023-11
INV10220,P010,Webcam HD,7,2023-02-27 06:27:00,42.6,6083,Netherlands,298.2,2023-02
INV10221,P004,Portable Charger,6,2023-05-03 10:19:00,12.26,2868,Sweden,73.56,2023-05
INV10222,P009,Phone Holder,4,2023-09-12 09:46:00,38.35,3419,Spain,153.4,2023-09
INV10223,P002,USB-C Cable,3,2023-07-06 09:22:00,23.74,3504,Germany,71.22,2023-07
INV10224,P003,Bluetooth Speaker,8,2023-12-04 20:10:00,76.67,8354,Netherlands,613.36,2023-12
INV10225,P006,Notebook Cooler,3,2023-11-17 05:24:00,11.49,8245,Italy,34.47,2023-11
INV10226,P005,Laptop Stand,10,2023-02-10 21:40:00,38.43,2215,Italy,384.3,2023-02
INV10227,P008,Gaming Headset,8,2023-01-28 09:14:00,10.4,5703,Germany,83.2,2023-01
INV10228,P002,USB-C Cable,10,2023-10-07 23:19:00,48.96,1672,Norway,489.6,2023-10
INV10229,P010,Webcam HD,4,2023-08-23 03:05:00,62.48,9214,France,249.92,2023-08
INV10230,P001,Wireless Mouse,8,2023-03-17 08:49:00,82.04,6626,Germany,656.32,2023-03
INV10231,P009,Phone Holder,3,2023-01-29 12:03:00,28.54,8172,Norway,85.62,2023-01
INV10232,P009,Phone Holder,9,2023-04-26 14:17:00,39.57,5634,Australia,356.13,2023-04
INV10233,P007,Smart LED Bulb,6,2023-02-08 03:09:00,79.98,6482,Germany,479.88,2023-02
INV10234,P006,Notebook Cooler,2,2023-10-09 11:41:00,31.99,3463,Netherlands,63.98,2023-10
INV10235,P002,USB-C Cable,10,2023-04-13 23:38:00,92.09,6082,Australia,920.9000000000001,2023-04
INV10236,P003,Bluetooth Speaker,10,2023-03-03 16:34:00,34.41,7171,Netherlands,344.09999999999997,2023-03
INV10237,P003,Bluetooth Speaker,9,2023-03-10 01:12:00,66.37,7937,Sweden,597.33,2023-03
INV10238,P006,Notebook Cooler,1,2023-09-22 00:51:00,34.34,4509,Netherlands,34.34,2023-09
INV10239,P008,Gaming Headset,4,2023-06-14 23:07:00,100.0,3538,Germany,400.0,2023-06
INV10240,P005,Laptop Stand,2,2023-01-28 11:41:00,67.88,3147,Australia,135.76,2023-01
INV10241,P003,Bluetooth Speaker,3,2023-05-12 16:30:00,83.98,3712,Norway,251.94,2023-05
INV10242,P001,Wireless Mouse,7,2023-09-23 06:35:00,69.25,4891,Norway,484.75,2023-09
INV10243,P010,Webcam HD,5,2023-11-23 21:35:00,27.23,4918,Italy,136.15,2023-11
INV10244,P008,Gaming Headset,4,2023-09-25 20:29:00,69.44,8218,Norway,277.76,2023-09
INV10245,P005,Laptop Stand,7,2023-11-01 20:37:00,96.8,4271,France,677.6,2023-11
INV10246,P005,Laptop Stand,1,2023-12-16 22:55:00,88.04,2680,Sweden,88.04,2023-12
INV10247,P002,USB-C Cable,5,2023-03-03 01:49:00,77.5,5469,Norway,387.5,2023-03
INV10248,P009,Phone Holder,3,2023-11-15 13:23:00,13.71,4637,Norway,41.13,2023-11
INV10249,P006,Notebook Cooler,1,2023-10-30 02:50:00,10.06,9224,Netherlands,10.06,2023-10
INV10250,P004,Portable Charger,7,2023-03-01 10:09:00,40.62,1461,Netherlands,284.34,2023-03
INV10251,P002,USB-C Cable,6,2023-04-17 08:23:00,18.07,5700,Norway,108.42,2023-04
INV10252,P003,Bluetooth Speaker,8,2023-11-23 15:52:00,63.46,2298,United Kingdom,507.68,2023-11
INV10253,P005,Laptop Stand,4,2023-04-19 21:02:00,57.14,9647,Australia,228.56,2023-04
INV10254,P002,USB-C Cable,5,2023-06-23 01:03:00,33.61,1782,Spain,168.05,2023-06
INV10255,P007,Smart LED Bulb,10,2023-11-29 20:38:00,10.97,9189,Sweden,109.7,2023-11
INV10256,P001,Wireless Mouse,9,2023-06-26 04:10:00,73.26,5772,Australia,659.34,2023-06
INV10257,P001,Wireless Mouse,10,2023-09-14 21:54:00,27.85,7825,France,278.5,2023-09
INV10258,P002,USB-C Cable,9,2023-09-20 14:00:00,11.43,9618,Sweden,102.87,2023-09
INV10259,P009,Phone Holder,9,2023-01-15 19:22:00,42.09,8702,United Kingdom,378.81000000000006,2023-01
INV10260,P007,Smart LED Bulb,6,2023-07-04 16:51:00,76.0,6850,Germany,456.0,2023-07
INV10261,P006,Notebook Cooler,4,2023-03-17 11:39:00,78.29,6447,France,313.16,2023-03
INV10262,P001,Wireless Mouse,6,2023-09-04 12:32:00,82.28,3868,Norway,493.68,2023-09
INV10263,P008,Gaming Headset,3,2023-04-09 04:43:00,10.99,8498,United Kingdom,32.97,2023-04
INV10264,P005,Laptop Stand,4,2023-02-01 21:34:00,80.16,1686,Netherlands,320.64,2023-02
